Review,sentiment,topic
"несмотря на описанные недостатки мне т-н очень нравится,за такие деньги это просто подарок,я сталкивался ранее с китайскими трубками,подозреваю,что база у них одна,уж очень они похожи в работе,ничего плохого этим сказать не хочу,т.к. отходил с китайцем полтора года пока от очередного падения не лопнул экран,почему и пришлось покупать новый,тем более что купил до этого своей девушке на др флая 170го примерно полгода назад,нареканй нет,отзыв о нём есть на моей страничке.,",Позитивный,Оценка качества и сравнение с аналогичными устройствами
"с мужем одновременно купили такие аппараты. у меня уже несколько раз летел аккумулятор, причем два раза его ремонтировали, на третий везли новый - больше месяца. у мужа все в порядке - работает без нареканий. вывод - если аккуратно пользоваться и не давать играть ребенку, телефон прослужит долго,",Нейтральный с негативной ноткой,Долговечность устройства
"телефон понравился, большой, легкий. Выбирал между ним и Alcatel OneTouch 997D. Хотелось 2 симки, в остальном выбор между ними был больше памяти и крупнее экран (этот) vs 2 симки и лучше камера. Выбрал этот. Каково же было мое удивление, когда в магазине оказалось, что маркет наврал, и в нем 2 симки, а не одна!  Прошивку стоит тут же обновить - новая ощутимо быстрее дефолтной. В остальном телефон отличный, памяти море, работает без тормозов (в игры не играю), батарея держит очень долго.  В общем, берите, не пожалеете (за 6 тысяч вряд ли вообще можно что-то лучше придумать - не то что найти))).,",Позитивный,Оценка качества телефона
"Телефоном больше довольна чем нет. Искала с большим экраном. С таким разрешением в этом ценовом диапазоне нет!! Есть неизвестных фирм.. Все видно четко, крупно. Одна симка!! Цена очень привлекательная. Выглядит строго без изысков. Если бы еще батарейка держала заряд чуть больше чем один день цены б не было!,",Позитивный,Оценка телефона
"всё было хорошо,но через полгода сам собой ""умер""сенсор,ремонт 5 т.р.(гарантия погибла вместе с фирмочкой где т.ф. приобретался...),",Отрицательный,Долговечность и гарантийное обслуживание
"скрип когда с кем либо говоришь по телефону, не понятно как иправить, и обновление андройда. зависло на 99проц. пишит нет памяти.. подчистил памяти море. но качать не хочет.. если кто знает как исправить эти два ньюанса подскажите буду признателен. так доволен вполне,",Нейтральный,Проблемы с телефоном
"Зря я его купил. пойду верну. Я смотрю, дислайки ставят ""защитнички"" этой поделки... ню-ню,",Отрицательный,Покупка товара
"В моем случае — отличный подарок девушке. Оказался очень удобным, красивым и функциональным.,",Позитивный,Подарок
"Телефон конечно очень хороший. В интернете летает, в играх летает. Вообще не тормозит.))) Пользуюсь почти год),",Позитивный,Качество
"Связь пропадает постоянно!!! Цепляется слабо, зато обрывается часто. Аккумулятора хватает часов на 6-8. Брал для инета. Разочарован. 7т. рублей. Не окупается!!! Единственный плюс это фото. За камеру и экран 2 бала.,",Отрицательный,Функциональность устройства
"Цена/качество,",Нейтральный,Цена/качество
"Мощный , брутальный телефон. Рекомендую для тех кому важна автономность и приватность.,",Позитивный,Характеристики телефона
"Не смотря на перечисленные недостатки-практически идеальный телефон, т.е. звонилка. Очень громкий, смотрится солидно (у меня в золоте), яркий фонарик. Связь держит идеально. Аккумулятор 3000-для телефона даже уже перебор. Радио работает без гарнитуры, аудио с эквалайзером. Если наши отзывы смотрит разработчик, то: если уменьшить ёмкость аккумулятора до 1500, то телефон станет тоньше и приобретёт идеальный размер, чуть уменьшить клавиатуру и, как следствие, увеличить монитор до 2,8 а то и 3 дюймов и можно смело ставить читалку электронных книг, побольше символов на контакт да и в смс, несколько номеров на контакт+место для заметок, шрифт увеличить вдвое и сделать удобнее переход в регистре (смена букв, цифр, языка). Улучшения очень умеренные, повысили бы цену, скажем, до 2300-2500 (мне обошёлся в 1800), но телефон стал бы идеальным. Вообще очень рекомендую всем. Из современных да за такую цену кнопочный, наверное, если и не лучший, то один из лучших.,",Позитивный,Оценка качества и пожеланий по улучшению характеристик телефона
"Это лучший телефон: заряд+три сим+цена+внешний ыид.,",Позитивный,Технические характеристики телефона
"Какой он большой. Да, первый раз зазвонил в кармане напугал, я думал машина сигналит на дороге. Громкость убрал до 2-3, но не 8-12, это район будить в маленьком городке ночью. Прикольно сделан USB внизу заглушкой закрыт для зарядки автомобиля, наверное. А так обычная лошадка на 3 сим, да и сеть ловит на все 100% Для каждой сим своя кнопка на корпусе удобно.Телефон на самом деле неплох. Все для связи есть.И в темноте кнопки с подсветкой и есть фонарь , светит как фара автомобиля. Может долго с таким аккумулятором служить.Теперь главное не замуровать на стройке с кирпичом попутав. А так это еще и средство самообороны. 3 в одном круто вообщем.Но он мне нравится.,",Позитивный,Оценка качества телефона
"Брал как второй телефон. Именно как телефон он нормальный, ловит сеть получше многих дешевых, слышно и меня и собеседника отлично. Что то подсветить вообще сказка. Из минусов стал чуть быстрее разряжаться и 3100ah нет конечно, но свой основной тел я заряжаю каждый день, по этому для меня это не проблема. В общем как звонилка более чем.,",Позитивный,Функциональность телефона
"Нормальный Аппарат с полноценной годовой гарантией за сущие копейки .. я доволен ))) чайновцы молоды )),",Позитивный,Оценка товара и гарантия
"Слышимость собеседник оказалась отвратительной, хотя меня слышали хорошо.,",Отрицательный,Слышимость
"У меня всегда был дешёвенький телефон, но когда я пошёл на работу, захотел приобрести телефон, чтобы не скучать в свободное время, сидеть в аськах, скайпах, лазить по интернету, смотреть видео. Присмотрел этот телефон, функции хорошие, цена низкая, приобрёл. По началу опасался, что в скайпе, аське, интернете будут проблемы, но попользовавшись не обнаружил их, всё работает плавно, быстро и зарядки хватает надолго, фильмы не тормозят, в телефоне легко всё установил сам.,",Позитивный,Отзывы о функциональности телефона
"Пользуюсь этим смартфоном уже неделю и хочу поделится своими впечатлениями. Перво-наперво смотрим на ценник в 5 тысяч рублей и понимаем, что это бюджетный вариант, и рассчитывать на сверх крутые навороты тут не следует. По весу достаточно легкий и неплохо лежит в руке, а сам пластик приятный на ощупь. Простые игрульки (типо 10х10) тянет легко и непринужденно (лагов серьезных не замечал). Батарейки хватает на день, если использовать с умеренной активностью - звонки, интернет, игры. Брал для того, чтобы форсить новостную ленту вконтакте и убивать время в общественном транспорте. Если вы преследуете те же цели, то этот смартфончик отлично подойдет. На сегодняшний день один из самых лучших вариантов.,",Позитивный,Оценка характеристик смартфона
"Нужен был телефон не дорогой и, как говорится ""рабочая лошадка"". Приобрела модель 4Good S500M 3G. Экран ISP, размер 5дюймов, 2-х ядерный процессор, память 4 Гб. Мне вполне подходит для работы. Интернет тянет, разные программки тоже устанавливаются и работают хорошо. А вот навороченные игрушки не тянет, не хватает мощности.В работе не глючит, в интернете не виснет .Покупкой довольна.,",Позитивный,Оценка характеристик и функциональности телефона
"Приобрела 4Good S500M 3G недавно. Осталась довольна. Дисплей хороший, работает нормально. Спокойно могу зайти в интернет, воспользоваться программой, но навороченные игры не потянет. Удобный, заряда хватает. Устанавливала карту памяти, но и внутренней достаточно. Мне необходимо много файлов и фотографий для работы.,",Позитивный,Оценка характеристик устройства
"Мне подарили на 8-ое марта смартфон 4Good S500M 3G. Пользуюсь больше месяца и очень довольна устройством. Работает исправно. Совсем не глючит и долго держит зарядку, хотя я целый день пользуюсь им. Можно также использовать флеш карты для дополнительной памяти до 32гб, что очень радует. Я часто выхожу в интернет, читаю книгу и скачиваю разные программы, в общем, все устраивает. Цена очень низкая, зато качество хорошее!,",Позитивный,Оценка смартфона
"Недавно пришлось покупать новый телефон, старый потерял. Искал бюджетный вариант смартфона, остановился на 4Good S500M 3G. Модель очень интересная, привлекла неплохая за свои деньги производительность и достаточно неплохой объем аккумулятора. Из лично своего опыта могу сказать что телефон неплох, не зависает\не тупит, в руке лежит довольно приятно, хороший корпус. Небольшой минус - все-таки камеры немного слабоваты, хотя за такие деньги, как говорится, грех жаловаться:),",Позитивный,Оценка качества и характеристик телефона
"Покупала этот смартфон в своём городе всего за 4560. Меня очень радует, что за такую небольшую цену в нём есть всё необходимое лично мне. Хорошая связь, фото и видео, возможность общаться по скайпу, Wi-Fi хорошо ловит. И памяти предостаточно, тем более если пользоваться дополнительной картой памяти на 32 гига. Мужчинам возможно оперативной памяти в нём не хватает, чтобы в игры играть, а я если и играю, то в самые простые игры, а для них оп.памяти этого смартфона вполне достаточно.,",Позитивный,Оценка характеристик смартфона
"Взял себе такой смартфон 2 месяца назад. Выбирал, в пределах 5 тыс.руб., чисто для связи и работы в интернете ( электпонку почитать, скайп и и.д). Пока доволен. Довольно шустрый, не зависает, не греется. Поставил карту на 32 ГБ, хватает теперь на все. Wi fi ловит хорошо, есть GPS, в машине использую ещё и как навигатор. Экран большой, 5 дюймов, яркий. Сборка нормальная.,",Позитивный,Оценка характеристик смартфона
"Бюджетный смартфон, вполне хорош за свои-то деньги - всего 5 тыщ рубликов. Технические параметры средненькие по нынешним меркам, но мне более чем хватает. В Интернете посидеть, в Скайп выйти - все это без проблем сделать можно. Внешне аппарат смотрится хорошо, радует и 5-дюймовый экран ISP. Можно подключить наушники через Bluetooth - этот момент весьма порадовал, крайне удобно оказалось на практике.,",Позитивный,Оценка смартфона
"Купил пару месяцев назад себе такой смартфон. За все время пользования он меня ни разу не разочаровал. Работает быстро, пользоваться им одно удовольствие. Что еще очень порадовало, так это большой и яркий экран. По характеристикам, смартфон тоже довольно не плох, меня они устроили. При всем при этом, стоит данная модель не дорого, так что всем рекомендую.,",Позитивный,Оценка смартфона
"Теперь от конторы 4Good буду держаться подальше. И Вам советую. Думаю, что отсутствие гарантийного ремонта в крупном городе говорит о низком качестве товара вообще.,",Отрицательная,Гарантийный ремонт и качество товара
